分群,選項,分子,分母_作答人數,群人數,群內比例,全體比例,lift,lift留空原因,該群平均角色廣度,信賴度,決策可用性,讀法說明
落地推廣,想認識新朋友、找到同好,11,36,36,0.3056,0.3191,0.96,,3.47,L2,可用於比較,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。 各列分子＝勾了該選項的人數，**跨選項不可相加**（同一個人可能勾了多項，相加會重複計同一個人）。選項以外的自由填答已合併成「其他（自由填答）」。勾選人數少於 5 人的列不提供倍數（lift），因為那個倍數會被一兩個人左右。
落地推廣,身邊有人在做，我就跟著加入,11,36,36,0.3056,0.2553,1.2,,3.47,L2,可用於比較,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。 各列分子＝勾了該選項的人數，**跨選項不可相加**（同一個人可能勾了多項，相加會重複計同一個人）。選項以外的自由填答已合併成「其他（自由填答）」。勾選人數少於 5 人的列不提供倍數（lift），因為那個倍數會被一兩個人左右。
落地推廣,累積作品集，練功或建立好名聲,7,36,36,0.1944,0.1915,1.02,,3.47,L2,可用於比較,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。 各列分子＝勾了該選項的人數，**跨選項不可相加**（同一個人可能勾了多項，相加會重複計同一個人）。選項以外的自由填答已合併成「其他（自由填答）」。勾選人數少於 5 人的列不提供倍數（lift），因為那個倍數會被一兩個人左右。
落地推廣,其他（自由填答）,2,36,36,0.0556,0.0638,,分子<5，lift 為雜訊,3.47,L2,可用於比較,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。 各列分子＝勾了該選項的人數，**跨選項不可相加**（同一個人可能勾了多項，相加會重複計同一個人）。選項以外的自由填答已合併成「其他（自由填答）」。勾選人數少於 5 人的列不提供倍數（lift），因為那個倍數會被一兩個人左右。
開發維護,我很認同這件事想達成的目標,28,33,33,0.8485,0.8298,1.02,,3.85,L2,可用於比較,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。 各列分子＝勾了該選項的人數，**跨選項不可相加**（同一個人可能勾了多項，相加會重複計同一個人）。選項以外的自由填答已合併成「其他（自由填答）」。勾選人數少於 5 人的列不提供倍數（lift），因為那個倍數會被一兩個人左右。
開發維護,我認同這個社群，想成為其中一員,16,33,33,0.4848,0.3617,1.34,,3.85,L2,可用於比較,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。 各列分子＝勾了該選項的人數，**跨選項不可相加**（同一個人可能勾了多項，相加會重複計同一個人）。選項以外的自由填答已合併成「其他（自由填答）」。勾選人數少於 5 人的列不提供倍數（lift），因為那個倍數會被一兩個人左右。
開發維護,純粹覺得好玩、有趣,12,33,33,0.3636,0.3191,1.14,,3.85,L2,可用於比較,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。 各列分子＝勾了該選項的人數，**跨選項不可相加**（同一個人可能勾了多項，相加會重複計同一個人）。選項以外的自由填答已合併成「其他（自由填答）」。勾選人數少於 5 人的列不提供倍數（lift），因為那個倍數會被一兩個人左右。
開發維護,想認識新朋友、找到同好,13,33,33,0.3939,0.3191,1.23,,3.85,L2,可用於比較,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。 各列分子＝勾了該選項的人數，**跨選項不可相加**（同一個人可能勾了多項，相加會重複計同一個人）。選項以外的自由填答已合併成「其他（自由填答）」。勾選人數少於 5 人的列不提供倍數（lift），因為那個倍數會被一兩個人左右。
開發維護,身邊有人在做，我就跟著加入,9,33,33,0.2727,0.2553,1.07,,3.85,L2,可用於比較,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。 各列分子＝勾了該選項的人數，**跨選項不可相加**（同一個人可能勾了多項，相加會重複計同一個人）。選項以外的自由填答已合併成「其他（自由填答）」。勾選人數少於 5 人的列不提供倍數（lift），因為那個倍數會被一兩個人左右。
開發維護,累積作品集，練功或建立好名聲,8,33,33,0.2424,0.1915,1.27,,3.85,L2,可用於比較,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。 各列分子＝勾了該選項的人數，**跨選項不可相加**（同一個人可能勾了多項，相加會重複計同一個人）。選項以外的自由填答已合併成「其他（自由填答）」。勾選人數少於 5 人的列不提供倍數（lift），因為那個倍數會被一兩個人左右。
開發維護,其他（自由填答）,1,33,33,0.0303,0.0638,,分子<5，lift 為雜訊,3.85,L2,可用於比較,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。 各列分子＝勾了該選項的人數，**跨選項不可相加**（同一個人可能勾了多項，相加會重複計同一個人）。選項以外的自由填答已合併成「其他（自由填答）」。勾選人數少於 5 人的列不提供倍數（lift），因為那個倍數會被一兩個人左右。
發起者,我很認同這件事想達成的目標,23,27,27,0.8519,0.8298,1.03,,3.85,L1（僅供參考）,僅供參考,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。 各列分子＝勾了該選項的人數，**跨選項不可相加**（同一個人可能勾了多項，相加會重複計同一個人）。選項以外的自由填答已合併成「其他（自由填答）」。勾選人數少於 5 人的列不提供倍數（lift），因為那個倍數會被一兩個人左右。
發起者,我認同這個社群，想成為其中一員,13,27,27,0.4815,0.3617,1.33,,3.85,L1（僅供參考）,僅供參考,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。 各列分子＝勾了該選項的人數，**跨選項不可相加**（同一個人可能勾了多項，相加會重複計同一個人）。選項以外的自由填答已合併成「其他（自由填答）」。勾選人數少於 5 人的列不提供倍數（lift），因為那個倍數會被一兩個人左右。
發起者,純粹覺得好玩、有趣,8,27,27,0.2963,0.3191,0.93,,3.85,L1（僅供參考）,僅供參考,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。 各列分子＝勾了該選項的人數，**跨選項不可相加**（同一個人可能勾了多項，相加會重複計同一個人）。選項以外的自由填答已合併成「其他（自由填答）」。勾選人數少於 5 人的列不提供倍數（lift），因為那個倍數會被一兩個人左右。
發起者,想認識新朋友、找到同好,13,27,27,0.4815,0.3191,1.51,,3.85,L1（僅供參考）,僅供參考,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。 各列分子＝勾了該選項的人數，**跨選項不可相加**（同一個人可能勾了多項，相加會重複計同一個人）。選項以外的自由填答已合併成「其他（自由填答）」。勾選人數少於 5 人的列不提供倍數（lift），因為那個倍數會被一兩個人左右。
發起者,身邊有人在做，我就跟著加入,4,27,27,0.1481,0.2553,,分子<5，lift 為雜訊,3.85,L1（僅供參考）,僅供參考,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。 各列分子＝勾了該選項的人數，**跨選項不可相加**（同一個人可能勾了多項，相加會重複計同一個人）。選項以外的自由填答已合併成「其他（自由填答）」。勾選人數少於 5 人的列不提供倍數（lift），因為那個倍數會被一兩個人左右。
發起者,累積作品集，練功或建立好名聲,6,27,27,0.2222,0.1915,1.16,,3.85,L1（僅供參考）,僅供參考,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。 各列分子＝勾了該選項的人數，**跨選項不可相加**（同一個人可能勾了多項，相加會重複計同一個人）。選項以外的自由填答已合併成「其他（自由填答）」。勾選人數少於 5 人的列不提供倍數（lift），因為那個倍數會被一兩個人左右。
發起者,其他（自由填答）,2,27,27,0.0741,0.0638,,分子<5，lift 為雜訊,3.85,L1（僅供參考）,僅供參考,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。 各列分子＝勾了該選項的人數，**跨選項不可相加**（同一個人可能勾了多項，相加會重複計同一個人）。選項以外的自由填答已合併成「其他（自由填答）」。勾選人數少於 5 人的列不提供倍數（lift），因為那個倍數會被一兩個人左右。
出資者,我很認同這件事想達成的目標,14,16,16,0.875,0.8298,1.05,,4.56,L1（僅供參考）,僅供參考,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。 各列分子＝勾了該選項的人數，**跨選項不可相加**（同一個人可能勾了多項，相加會重複計同一個人）。選項以外的自由填答已合併成「其他（自由填答）」。勾選人數少於 5 人的列不提供倍數（lift），因為那個倍數會被一兩個人左右。
出資者,我認同這個社群，想成為其中一員,7,16,16,0.4375,0.3617,1.21,,4.56,L1（僅供參考）,僅供參考,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。 各列分子＝勾了該選項的人數，**跨選項不可相加**（同一個人可能勾了多項，相加會重複計同一個人）。選項以外的自由填答已合併成「其他（自由填答）」。勾選人數少於 5 人的列不提供倍數（lift），因為那個倍數會被一兩個人左右。
出資者,純粹覺得好玩、有趣,5,16,16,0.3125,0.3191,0.98,,4.56,L1（僅供參考）,僅供參考,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。 各列分子＝勾了該選項的人數，**跨選項不可相加**（同一個人可能勾了多項，相加會重複計同一個人）。選項以外的自由填答已合併成「其他（自由填答）」。勾選人數少於 5 人的列不提供倍數（lift），因為那個倍數會被一兩個人左右。
出資者,想認識新朋友、找到同好,5,16,16,0.3125,0.3191,0.98,,4.56,L1（僅供參考）,僅供參考,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。 各列分子＝勾了該選項的人數，**跨選項不可相加**（同一個人可能勾了多項，相加會重複計同一個人）。選項以外的自由填答已合併成「其他（自由填答）」。勾選人數少於 5 人的列不提供倍數（lift），因為那個倍數會被一兩個人左右。
出資者,身邊有人在做，我就跟著加入,1,16,16,0.0625,0.2553,,分子<5，lift 為雜訊,4.56,L1（僅供參考）,僅供參考,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。 各列分子＝勾了該選項的人數，**跨選項不可相加**（同一個人可能勾了多項，相加會重複計同一個人）。選項以外的自由填答已合併成「其他（自由填答）」。勾選人數少於 5 人的列不提供倍數（lift），因為那個倍數會被一兩個人左右。
出資者,累積作品集，練功或建立好名聲,2,16,16,0.125,0.1915,,分子<5，lift 為雜訊,4.56,L1（僅供參考）,僅供參考,這張表算的是做過專案的 47 人。可以這樣讀：五個角色各自的水準。不要這樣讀——（1）表中五列的排列順序沒有含意，只是固定的呈現順序，不代表角色由淺到深：勾「出錢或調度資源」的人完全可能沒使用過、也沒推廣過任何專案；（2）角色是複選，同一個人可以同時落在好幾列，所以各列不是互斥的類別，不能互相比高低；（3）各群的「該群平均角色廣度」不一樣（3.49–4.56），群與群之間的差異可能只是「身兼多職的人撞到比較多種困難」。 各列分子＝勾了該選項的人數，**跨選項不可相加**（同一個人可能勾了多項，相加會重複計同一個人）。選項以外的自由填答已合併成「其他（自由填答）」。勾選人數少於 5 人的列不提供倍數（lift），因為那個倍數會被一兩個人左右。
